igekötő	reduplikáció	fele	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
életre	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	2.391568252374608	-0.36860471916868454	-0.4843706013552963	-0.49027809414718754	0.37500267094878853	-0.23197340190811358
ellen	-0.45341831526752546	-0.374270239045317	1.5297506449386906	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	1.0340905251435473	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
ellent	-0.45341831526752546	-0.374270239045317	1.9539409890619175	-0.3123653961545721	0.5724365605193372	0.006178244195487286	1.0596593466324724	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
elő	2.455853030552649	-0.374270239045317	2.114791042097131	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	1.6429900554793242	2.2114739689498277	2.2047097855439937	-0.750358601541224	-0.23197340190811358
előre	2.2323181271858745	2.7877595999889397	2.114791042097131	3.3158617002879494	0.5724365605193372	2.391568252374608	1.1987397524160717	1.9033946277870868	1.8488528253150758	-0.4494509109987439	-0.23197340190811358
érvénybe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	2.391568252374608	-1.5141393920152748	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
észhez	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.8429978471107649	-0.4843706013552963	-0.5497664804233818	0.7546757267848864	-0.23197340190811358
észre	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	1.27768939780435	-0.4843706013552963	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
falra	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.4801693450532838	-0.4843706013552963	-0.5497664804233818	-0.03542632323941591	-0.23197340190811358
fejbe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.4265344539872282	-0.24726636427381493	-0.20976946622690715	-0.2215683132935242	-0.23197340190811358
