igekötő	duplikálhatóság	-fele/felé	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
nyélbe	0	0	0	0	1	2	0	0	0	0	0
nyilván	0	0	0	0	0	2	0.00009	0	0	0	0
nyomon	0	0	0	0	1	2	0.00001	0	0	0	0
nyomra	0	0	0	0	1	2	0	0	0	0	0
oda	0.02408	0.00109	0.02056	0.15195	0	2	0.00567	0.02464	0.02507	0.00033	0
odább	0.00012	0	0	0	0	2	0	0.0002	0.0003	0.00607	0
odébb	0	0	0	0	0	2	0.00005	0.0011	0.0018	0.00282	0
oldalba	0	0	0	0	1	3	0	0.0002	0.0004	0.02073	0
össze	0.01688	0.0021	0.00691	0.01578	0	2	0.01677	0.03375	0.03429	0.00015	0
ott	0	0	0	0	0	1	0.00084	0.0005	0.0003	0.00002	0
padlót	0	0	0	0	1	2	0	0	0	0.04146	0
partra	0	0	0	0	1	2	0.00001	0.0001	0.0001	0.00143	0
piacra	0	0	0	0	1	3	0	0	0	0.00592	0
pofán	0	0	0	0	1	2	0.00001	0.0003	0.0003	0.00244	0
pofon	0	0	0	0	1	2	0.00001	0.0001	0.0002	0.00263	0
porba	0	0	0	0	1	2	0	0.0001	0.0001	0.01555	0
pórul	0	0	0	0	1	2	0	0	0	0	0
rá	0.01068	0.00027	0.00037	0	0	1	0.0144	0.02984	0.02868	0.00014	0.481
rabul	0	0	0	0	1	2	0	0	0	0	0
rajta	0	0	0	0	0	2	0.00018	0.0004	0	0	0.03033
reá	0	0	0	0	0	2	0.00002	0.0022	0.00411	0.02027	0.01191
rendbe	0	0	0	0	1	2	0.00009	0.0003	0.0002	0.00021	0
rendre	0	0	0.00019	0	1	2	0.00002	0.0001	0.0001	0.00062	0
részre	0	0	0	0	1	2	0	0	0	0	0
részt	0	0	0	0	1	1	0.00008	0	0	0	0
ringbe	0	0	0	0	1	2	0	0	0	0.04146	0
romba	0	0	0	0	1	2	0	0	0	0	0
rosszul	0	0	0	0	1	2	0.00001	0.0001	0.0001	0.00077	0
sárba	0	0	0	0	1	2	0	0	0	0	0
seggbe	0	0	0	0	1	2	0.00001	0.0003	0.0004	0.00485	0
seggre	0	0	0	0	1	2	0	0.0001	0	0.00592	0
semmibe	0	0	0	0	1	3	0	0	0	0	0
síkra	0	0	0	0	1	2	0.00002	0	0	0	0
sorba	0	0	0	0	1	2	0.00001	0.0002	0.0002	0.00228	0
sorban	0	0	0	0	1	2	0	0	0	0	0
sorra	0	0	0	0	1	2	0	0.0001	0.0001	0.00207	0
szájon	0	0	0	0	1	2	0	0.0001	0.0001	0.00377	0
számba	0	0	0	0	1	2	0.00001	0.0001	0	0.0003	0
számon	0	0	0	0	1	2	0.00001	0	0	0	0
számot	0	0	0	0	1	2	0	0	0	0	0
szárba	0.00012	0	0	0	1	2	0	0	0	0	0
szárnyra	0	0	0	0	1	2	0	0.0001	0	0.00518	0
szarrá	0	0	0	0	1	2	0	0.0001	0.0002	0.01382	0
széjjel	0	0.00027	0	0.00122	0	2	0.00004	0.0026	0.00391	0.00728	0
szembe	0	0	0.00037	0	1	2	0.00117	0.0025	0.00281	0.00018	0
szemben	0	0	0	0	1	2	0.00002	0	0	0	0
szemen	0	0	0	0	1	2	0	0.0001	0.0002	0.0079	0
szemet	0	0	0	0	1	2	0	0.0001	0	0.00197	0
szemmel	0	0	0	0	1	2	0	0	0	0.01037	0
szemre	0	0	0	0	1	2	0.00003	0	0	0	0
szénné	0	0	0	0	1	2	0	0.0001	0.0001	0.04146	0
szerte	0	0.00009	0	0	0	2	0.00014	0.0024	0.00371	0.00203	0
szét	0.00062	0.00036	0.00112	0	0	1	0.00362	0.01973	0.02286	0.00047	0
színre	0	0	0	0	1	2	0	0.0001	0	0	0
szóba	0	0	0	0	1	2	0.00006	0.0001	0	0	0
szörnyet	0	0	0	0	1	2	0.00006	0	0	0.00005	0
szót	0	0	0	0	1	1	0	0.0001	0	0	0
szóvá	0	0	0	0	1	2	0.00001	0	0	0	0
talpon	0	0	0	0	1	2	0	0	0.0001	0.04146	0
talpra	0	0	0	0	1	2	0.00001	0.0002	0.0004	0.00322	0
táncra	0	0	0	0	1	2	0	0	0	0	0
tarkón	0	0	0	0	1	2	0	0.0001	0.0001	0.01244	0
tele	0.00012	0	0	0	0	2	0.00034	0.00671	0.00983	0.00206	0
teli	0	0	0	0	0	2	0.00002	0.0015	0.00231	0.00868	0
témába	0	0	0	0	1	3	0	0	0	0.04146	0
térdre	0	0	0	0	1	2	0	0.0002	0.0002	0.00754	0
testet	0	0	0	0	1	2	0	0	0	0	0
testre	0	0	0	0	1	2	0.00001	0	0	0	0
tetten	0	0	0.00019	0	1	2	0	0	0	0	0
tisztán	0	0	0	0	1	2	0	0	0	0	0
tökön	0	0	0	0	1	2	0	0.0001	0.0001	0.00189	0
tollba	0	0	0	0	1	2	0	0	0	0	0
tönkre	0	0.00018	0	0	1	2	0.00121	0.001	0.0015	0.00009	0
tőrbe	0	0	0	0	1	2	0	0	0	0	0
torkon	0	0	0	0	1	2	0	0.0001	0.0002	0.02304	0
törvényt	0	0	0	0	1	2	0	0	0.0001	0.04146	0
tova	0.00012	0.00036	0	0	0	2	0.00008	0.0028	0.00391	0.00347	0
tovább	0	0	0.00093	0	1	2	0.0022	0.01332	0.01444	0.00048	0
trónra	0	0	0	0	1	2	0	0	0	0	0
tükörbe	0	0	0	0	1	3	0	0	0	0.04146	0
túl	0	0	0.00019	0	0	1	0.00384	0.01502	0.01745	0.00034	0
tűzbe	0	0	0	0	1	2	0	0.0001	0	0.00415	0
újjá	0	0	0	0	1	2	0.00051	0.0012	0.0012	0.00017	0
újra	0	0	0.00037	0	1	2	0.00202	0.01422	0.01484	0.00053	0
utána	0	0	0	0	0	3	0.00064	0.00451	0.00602	0.00062	0.03721
utat	0	0	0	0	1	2	0	0	0	0.04146	0
útba	0	0	0	0	1	2	0.00002	0.0001	0.0001	0.0004	0
utol	0.00025	0	0	0	0	2	0.00045	0	0	0	0
útra	0.00012	0	0	0	1	2	0.00001	0.0001	0	0.00046	0
valóra	0	0	0	0	1	3	0	0	0	0	0
végbe	0	0	0	0	1	2	0.00016	0	0	0	0
véget	0	0	0	0	1	2	0.00003	0.0001	0	0.00012	0
véghez	0	0	0	0	1	2	0.00007	0.0001	0	0	0
végig	0.00074	0	0.00075	0	1	2	0.00363	0.02664	0.02948	0.00061	0
végre	0	0	0.0071	0	1	2	0.00077	0.0001	0	0	0
vérig	0	0	0	0	1	2	0	0	0	0	0
világgá	0	0	0	0	1	3	0	0.0001	0	0.00518	0
világra	0	0	0	0	1	3	0	0.0001	0	0.00189	0
vissza	0.07623	0.05025	0.01551	0.01428	0	2	0.02529	0.03806	0.0374	0.00011	0
viszont	0	0	0.00355	0	0	2	0.00009	0.0001	0	0	0
vízre	0	0	0	0	1	2	0	0.0001	0.0001	0.00361	0
zavarba	0	0	0	0	1	3	0	0.0001	0.0001	0.00691	0
zokon	0	0	0	0	0	2	0	0	0	0	0
zsebre	0.00012	0	0	0	1	2	0.00001	0.0001	0	0.00031	0
