igekötő	reduplikáció	-fele/felé	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
ellen	0	0	0.00019	0	0	0.00439	0.00049	0	0	0	0
ellent	0	0	0.00037	0	0.00565	0.00439	0.00055	0	0	0	0
elő	0.02967	0	0.00056	0	0	0.00439	0.01275	0.01061	0.01224	0.00007	0
előre	0.0005	0.0021	0.00056	0.15094	0.00565	0.00658	0.00106	0.0077	0.00823	0.00058	0
érvénybe	0	0	0	0	0.00565	0.00658	0	0	0	0	0
észhez	0	0	0	0	0.00565	0.00439	0	0.0001	0	0.00362	0
észre	0	0	0	0	0.00565	0.00439	0.00157	0.0001	0	0	0
falra	0	0	0	0	0.00565	0.00439	0	0.0001	0	0.0014	0
fejbe	0	0	0	0	0.00565	0.00439	0.00004	0.0005	0.0006	0.00101	0
fejen	0	0	0	0	0.00565	0.00439	0	0.0002	0.0002	0.01448	0
fel/föl	0.1784	0.25643	0.0342	0.21056	0	0.00219	0.07873	0.05673	0.04816	0.00004	0
félbe	0	0	0	0	0.00565	0.00439	0.00036	0.0006	0.0008	0.00017	0
félre	0.00087	0	0	0.00057	0.00565	0.00439	0.00161	0.0066	0.00682	0.00032	0
felül/fölül	0	0	0	0	0	0.00439	0.00152	0.0018	0.00181	0.00009	0
fenn	0.00012	0	0.00224	0.00007	0	0.00219	0.00317	0.0003	0.0002	0	0
férjhez	0	0	0	0	0.00565	0.00439	0	0.0001	0	0.00132	0
főbe	0	0	0	0	0.00565	0.00439	0.00001	0.0001	0.0001	0.00145	0
földet	0	0	0	0	0.00565	0.00439	0	0	0	0	0
földhöz	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.00052	0
földre	0	0	0	0	0.00565	0.00439	0	0.0002	0.0003	0.01216	0
fölé	0	0	0	0	0	0.00439	0.00002	0.0014	0.00201	0.00727	0.00703
fönn	0.00012	0	0	0.00007	0	0.00219	0.00013	0.0001	0	0.00003	0
fülön	0	0	0	0	0.00565	0.00439	0	0.0001	0.0002	0.00483	0
füstbe	0	0	0	0	0.00565	0.00439	0	0	0	0.00543	0
görcsbe	0	0	0	0	0.00565	0.00439	0	0	0	0	0
gúzsba	0	0	0	0	0.00565	0.00439	0	0	0	0	0
hadat	0	0	0	0	0.00565	0.00439	0	0	0	0	0
hadba	0	0	0	0	0.00565	0.00439	0	0.0001	0	0.00334	0
hajba	0	0	0	0	0.00565	0.00439	0	0	0	0	0
hanyatt	0	0	0	0	0	0.00439	0.00001	0.0003	0.0002	0.00179	0
harcba	0	0	0	0	0.00565	0.00439	0	0	0	0.00724	0
hasba	0	0	0	0	0.00565	0.00439	0	0.0001	0.0002	0.00434	0
hasra	0	0	0	0	0.00565	0.00439	0.00001	0.0003	0.0002	0.00223	0
hatályba	0	0	0	0	0.00565	0.00658	0	0	0	0	0
hátba	0	0	0	0	0.00565	0.00439	0.00002	0.0004	0.0005	0.00244	0
hátra	0.0036	0.01432	0	0.12899	0.00565	0.00439	0.00072	0.0064	0.00682	0.00072	0
haza	0.00273	0.10952	0.00019	0	0	0.00439	0.00369	0.0078	0.00712	0.00014	0
házhoz	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.01086	0
hegyet	0	0	0	0	0.00565	0.00439	0	0	0	0.04344	0
helybe	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.0079	0
helyben	0	0	0	0	0.00565	0.00439	0.00015	0.0001	0.0001	0.00007	0
helyre	0.00012	0	0	0	0.00565	0.00439	0.00097	0.0016	0.00211	0.00017	0
helyt	0	0	0.00037	0	0.00565	0.00219	0.00017	0.0001	0	0.00002	0
hozzá	0.00062	0.00027	0.10503	0	0	0.00439	0.01148	0.01021	0.01214	0.00006	0.12577
ide	0.00099	0.00164	0.00075	0.00079	0	0.00439	0.00134	0.01271	0.01475	0.00083	0
igazat	0	0	0	0	0.00565	0.00658	0	0.0001	0	0.00869	0
irányt	0	0	0	0	0.00565	0.00439	0	0	0.0001	0.04344	0
jól	0	0	0	0	0.00565	0.00219	0.00043	0.0002	0	0	0
jót	0	0	0	0	0.00565	0.00219	0.00001	0.0001	0	0.00043	0
jóvá	0	0	0.00019	0	0.00565	0.00439	0.00134	0.0002	0	0	0
kárba	0	0	0	0	0.00565	0.00439	0	0	0	0	0
karban	0	0	0	0	0.00565	0.00439	0.00006	0	0	0	0
keresztbe	0	0	0	0	0.00565	0.00658	0.00002	0.0007	0.0009	0.00322	0
keresztül	0	0	0	0	0.00565	0.00658	0.00034	0.0046	0.00612	0.00139	0
készen	0	0	0	0	0.00565	0.00439	0	0	0	0	0
kétségbe	0	0	0	0	0.00565	0.00658	0.00006	0.0001	0	0	0
ketté	0	0.00018	0	0	0.00565	0.00439	0.00047	0.0015	0.00161	0.00026	0
kézben	0	0	0	0	0.00565	0.00439	0	0	0	0	0
kézen	0	0	0	0	0.00565	0.00439	0.00001	0.0001	0	0	0
kezet	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.00348	0
kézhez	0	0	0	0	0.00565	0.00439	0	0	0	0	0
kézre	0	0	0	0	0.00565	0.00439	0.00001	0.0002	0.0002	0.00276	0
ki	0.06865	0.18849	0.03962	0.01887	0	0.00219	0.10929	0.08604	0.07505	0.00005	0
kinn	0	0	0	0	0	0.00219	0.00001	0.0002	0.0001	0.00158	0
kívül	0	0	0.00019	0.00007	0	0.00439	0.00001	0.0003	0.0003	0.003	0
kölcsön	0	0	0.00056	0	0.00565	0.00439	0.00038	0.0002	0.0001	0.00002	0
körbe	0.01092	0	0	0	0.00565	0.00439	0.00097	0.01181	0.01425	0.0011	0
körül	0.00037	0.00009	0	0	0	0.00439	0.00103	0.008	0.01124	0.00078	0
közbe	0.00211	0	0.00019	0	0.00565	0.00439	0.00052	0.0021	0.00281	0.00036	0
közben	0	0	0	0	0.00565	0.00439	0.00004	0	0	0	0
közé	0	0	0.00037	0	0	0.00439	0.00001	0.0004	0.0006	0.00411	0.01421
közre	0	0	0.00037	0	0.00565	0.00439	0.00132	0.0005	0.0006	0.00003	0
közzé	0	0	0	0	0.00565	0.00439	0.00087	0.0001	0	0	0
külön	0	0	0	0	0	0.00439	0.00018	0.0009	0.0007	0.00032	0
kupán	0	0	0	0	0.00565	0.00439	0	0	0	0	0
küszöbön	0	0	0	0	0.00565	0.00658	0	0	0	0	0
kútba	0	0	0	0	0.00565	0.00439	0	0	0	0	0
lábra	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.02172	0
lángba	0	0	0	0	0.00565	0.00439	0	0	0	0.01086	0
lángra	0	0	0	0	0.00565	0.00439	0	0.0001	0	0	0
latba	0	0	0	0	0.00565	0.00439	0	0	0	0	0
lázba	0	0	0	0	0.00565	0.00439	0	0	0	0.00724	0
