igekötő	reduplikáció	-fele/felé	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
újjá	0	0	0	1	2	5948	0.0013	0.0012	0.0042	0
újra	0	0	0	1	2	24230	0.0148	0.0154	0.0129	0
utána	0	0	0	0	3	8415	0.0047	0.0062	0.015	2127
utat	0	0	0	1	2	1	0	0	1	0
útba	0	0	0	1	2	209	0.0001	0.0001	0.0096	0
utol	2	0	0	0	2	5215	0	0	0	0
útra	1	0	0	1	2	90	0.0001	0	0.0111	0
valóra	0	0	0	1	3	7	0	0	0	0
végbe	0	0	0	1	2	1842	0	0	0	0
véget	0	0	0	1	2	347	0.0001	0	0.0029	0
véghez	0	0	0	1	2	804	0.0001	0	0	0
végig	6	0	0	1	2	42060	0.0277	0.0306	0.0147	0
végre	0	0	0	1	2	9116	0.0001	0	0.0001	0
vérig	0	0	0	1	2	3	0	0	0.3333	0
világgá	0	0	0	1	3	9	0.0001	0.0001	0.2222	0
világra	0	0	0	1	3	22	0.0001	0	0.0455	0
vissza	614	551	199	0	2	299245	0.0395	0.0388	0.0026	0
viszont	0	0	0	0	2	972	0.0002	0	0	0
vízre	0	0	0	1	2	23	0.0001	0.0001	0.087	0
zavarba	0	0	0	1	3	12	0.0001	0.0001	0.1667	0
zokon	0	0	0	0	2	4	0	0	0	0
zsebre	1	0	0	1	2	135	0.0001	0	0.0074	0
