igekötő	reduplikáció	-fele/felé	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
oda	0.02408	0.00109	0.15195	0	0.0044	0.00554	0.02562	0.02618	0.00032	0
odább/odébb	0.00012	0	0	0	0.0044	0.00005	0.0012	0.00191	0.00264	0
oldalba	0	0	0	0.00565	0.00659	0	0.0003	0.0004	0.02027	0
össze	0.01688	0.0021	0.01578	0	0.0044	0.01632	0.03513	0.03581	0.00015	0
ott	0	0	0	0	0.0022	0.00081	0.0006	0.0003	0.00002	0
padlót	0	0	0	0.00565	0.0044	0	0	0	0.04054	0
partra	0	0	0	0.00565	0.0044	0.00001	0.0001	0.0002	0.00184	0
piacra	0	0	0	0.00565	0.00659	0	0	0	0.00579	0
pofán	0	0	0	0.00565	0.0044	0.00001	0.0003	0.0004	0.0027	0
pofon	0	0	0	0.00565	0.0044	0.00001	0.0002	0.0002	0.00257	0
porba	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.0152	0
pórul	0	0	0	0.00565	0.0044	0	0	0	0	0
rá/reá	0.01068	0.00027	0	0	0.0022	0.01455	0.03112	0.03009	0.00014	0.49291
rabul	0	0	0	0.00565	0.0044	0	0	0	0	0
rajta	0	0	0	0	0.0044	0.00017	0.0004	0	0	0.03033
rendbe	0	0	0	0.00565	0.0044	0.00008	0.0004	0.0002	0.00021	0
rendre	0	0	0	0.00565	0.0044	0.00002	0.0001	0.0001	0.0006	0
részre	0	0	0	0.00565	0.0044	0	0	0	0	0
részt	0	0	0	0.00565	0.0022	0.00008	0	0	0	0
ringbe	0	0	0	0.00565	0.0044	0	0	0	0.04054	0
romba	0	0	0	0.00565	0.0044	0	0	0	0	0
rosszul	0	0	0	0.00565	0.0044	0.00001	0.0001	0.0001	0.00075	0
sárba	0	0	0	0.00565	0.0044	0	0	0	0	0
seggbe	0	0	0	0.00565	0.0044	0.00001	0.0003	0.0004	0.00474	0
seggre	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.01351	0
semmibe	0	0	0	0.00565	0.00659	0	0	0	0	0
síkra	0	0	0	0.00565	0.0044	0.00002	0	0	0	0
sorba	0	0	0	0.00565	0.0044	0.00001	0.0002	0.0002	0.00223	0
sorban	0	0	0	0.00565	0.0044	0	0	0	0	0
sorra	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.00297	0
