igekötő	reduplikáció	-fele/felé	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
padlót	0	0	0	0.00565	0.00427	0	0	0	0.03881	0
partra	0	0	0	0.00565	0.00427	0.00001	0.0001	0.0002	0.00177	0
piacra	0	0	0	0.00565	0.00641	0	0	0	0.00555	0
pofán	0	0	0	0.00565	0.00427	0.00001	0.0003	0.0004	0.00259	0
pofon	0	0	0	0.00565	0.00427	0.00001	0.0001	0.0002	0.00246	0
porba	0	0	0	0.00565	0.00427	0	0.0001	0.0001	0.01455	0
pórul	0	0	0	0.00565	0.00427	0	0	0	0	0
rá	0.01068	0.00027	0	0	0.00214	0.01454	0.02984	0.02867	0.00013	0.481
rabul	0	0	0	0.00565	0.00427	0	0	0	0	0
rajta	0	0	0	0	0.00427	0.00017	0.0004	0	0	0.03033
